;;;Utility;Suppressed;Transformation
Dataset;Privacy model;Uniqueness;Value;Value;Value
Atus;p-uniqueness (pitman);0.01;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.001;6.0623351641176715;5.859587243835454;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.002;5.130307720114358;4.923477477176761;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.003;4.40303644151816;4.193022570110876;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.004;3.7815588224750174;3.568825764529822;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.005;3.2276561653064695;3.012500625865781;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.006;2.721757539587122;2.5043903325526236;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.007;2.252231157780904;2.0328120566784054;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.008;1.81132250898155;1.5899772463018287;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.009;1.3940465508993416;1.170878975174918;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.01;0.996341388013966;0.7714375256141366;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.001;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.002;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.003;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.004;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.005;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.006;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.007;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.008;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.009;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.01;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
