;;;Entropy;EntropyWithBound
Dataset;Generalization;Suppression;Value;Value
Atus;0.75;0.0;8037251.787112949;8037251.787112949
Atus;0.75;0.1;7697364.588091732;8148149.949156504
Atus;0.75;0.2;7531878.469514192;8310165.95285188
Atus;0.75;0.3;7509439.790878142;8454466.399412036
Atus;0.75;0.4;7552735.126869378;8592457.480691547
Atus;0.75;0.5;7646316.476875326;8722328.849761104
Atus;0.75;0.6;7805502.361878027;8852065.280645663
Atus;0.75;0.7;8046621.563154662;8993561.388435245
Atus;0.75;0.8;8363718.502613236;9133114.968549298
Atus;0.75;0.9;8758456.229535151;9260902.100480806
Atus;0.75;1.0;9389185.404572088;9389293.754324026
Atus;1.0;0.0;9389298.794564312;9389298.794564312
Atus;1.0;0.1;9389298.794564312;9389298.794564312
Atus;1.0;0.2;9389298.794564312;9389298.794564312
Atus;1.0;0.3;9389298.794564312;9389298.794564312
Atus;1.0;0.4;9389298.794564312;9389298.794564312
Atus;1.0;0.5;9389298.794564312;9389298.794564312
Atus;1.0;0.6;9389298.794564312;9389298.794564312
Atus;1.0;0.7;9389298.794564312;9389298.794564312
Atus;1.0;0.8;9389298.794564312;9389298.794564312
Atus;1.0;0.9;9389298.794564312;9389298.794564312
Atus;1.0;1.0;9389298.794564312;9389298.794564312
Ihis;0.0;0.0;0.0;0.0
Ihis;0.0;0.1;-1888420.838773694;2582119.110445435
Ihis;0.0;0.2;-1478632.4982567937;5374881.211343802
Ihis;0.0;0.3;-90147.85659842985;8231606.573363394
Ihis;0.0;0.4;2068179.7437878367;1.1148831502135376E7
Ihis;0.0;0.5;4936054.829681659;1.4118658705240633E7
Ihis;0.0;0.6;8321923.962365707;1.722184758456962E7
Ihis;0.0;0.7;1.216123600524256E7;2.0385990699313212E7
Ihis;0.0;0.8;1.6792960509218264E7;2.3521148973459687E7
Ihis;0.0;0.9;2.230230721113959E7;2.675614274673434E7
Ihis;0.0;1.0;2.9908546170809284E7;2.9909180931505963E7
Ihis;0.25;0.0;1.0028654667534161E7;1.0028654667534161E7
Ihis;0.25;0.1;7100373.771804571;1.1840102085081095E7
Ihis;0.25;0.2;6580045.043106723;1.3650569456463441E7
Ihis;0.25;0.3;7045998.65967819;1.5681748845029794E7
Ihis;0.25;0.4;8026425.858892244;1.7721136325643953E7
Ihis;0.25;0.5;9706877.257625666;1.967228308720853E7
Ihis;0.25;0.6;1.205105877719722E7;2.15585297109627E7
Ihis;0.25;0.7;1.506016105021516E7;2.3677498860339742E7
Ihis;0.25;0.8;1.8559811761441264E7;2.583966509563103E7
Ihis;0.25;0.9;2.3091625422739208E7;2.7900156120149802E7
Ihis;0.25;1.0;2.990855666103428E7;2.990921475787781E7
Ihis;0.5;0.0;2.0683058705407888E7;2.0683058705407888E7
Ihis;0.5;0.1;1.8420972693960123E7;2.1509044353967134E7
Ihis;0.5;0.2;1.780919755129009E7;2.2333660983775415E7
Ihis;0.5;0.3;1.7822854453027323E7;2.3388632516676195E7
Ihis;0.5;0.4;1.800595399339562E7;2.444146795388201E7
Ihis;0.5;0.5;1.862316740365705E7;2.5409294879283376E7
Ihis;0.5;0.6;1.9658189872636862E7;2.633973669974958E7
Ihis;0.5;0.7;2.112693195070852E7;2.7249899863068216E7
Ihis;0.5;0.8;2.3089557145035155E7;2.814478171927339E7
Ihis;0.5;0.9;2.574351680371616E7;2.9030330406467415E7
Ihis;0.5;1.0;2.990880496946951E7;2.990924527994187E7
Ihis;0.75;0.0;2.6988764586152732E7;2.6988764586152732E7
Ihis;0.75;0.1;2.5601416997764297E7;2.7280020252799146E7
Ihis;0.75;0.2;2.49857390708775E7;2.757001080856079E7
Ihis;0.75;0.3;2.4706142133387767E7;2.786115790559542E7
Ihis;0.75;0.4;2.4676952860120095E7;2.8152911303058416E7
Ihis;0.75;0.5;2.4864689188205197E7;2.844464423888912E7
Ihis;0.75;0.6;2.5260301130836643E7;2.8736333404585935E7
Ihis;0.75;0.7;2.5873631988082103E7;2.9028780497816905E7
Ihis;0.75;0.8;2.673612885148924E7;2.9320781638244905E7
Ihis;0.75;0.9;2.7934760659496777E7;2.9613873101342425E7
Ihis;0.75;1.0;2.9909040522990443E7;2.990926640899536E7
Ihis;1.0;0.0;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.1;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.2;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.3;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.4;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.5;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.6;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.7;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.8;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;0.9;2.990928532163985E7;2.990928532163985E7
Ihis;1.0;1.0;2.990928532163985E7;2.990928532163985E7
