;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Cup;Entropy;k-anonymity;0.001;0.5162828303186595;6.407528254598762;(80%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;k-anonymity;0.001;0.1342678897355191;2.602417994672215;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.002;0.5311121394848078;8.70572658060245;(80%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;k-anonymity;0.002;0.14173130236224366;3.4394161504389906;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.003;0.544352505809708;10.836840528995445;(80%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;k-anonymity;0.003;0.14729676771402941;4.063618164909128;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.004;0.5848848999651568;2.7836887817026845;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 100%)
Cup;Loss;k-anonymity;0.004;0.18311174227997387;8.08152456613231;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.005;0.5935835331842558;4.4293122743966835;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 100%)
Cup;Loss;k-anonymity;0.005;0.18848768811721212;4.080957109755521;(80%, 75%, 0%, 50%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.006;0.6051564740359321;6.798442647499252;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 100%)
Cup;Loss;k-anonymity;0.006;0.19672782572723713;5.042480414873662;(80%, 75%, 0%, 50%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.007;0.6138608546034862;8.64425213978342;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 100%)
Cup;Loss;k-anonymity;0.007;0.20643292239941094;6.174240633029114;(80%, 75%, 0%, 50%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.008;0.6396669800894913;8.872810958213142;(80%, 100%, 0%, 0%, 0%, 100%, 100%, 100%)
Cup;Loss;k-anonymity;0.008;0.24908403679346192;6.153749152756104;(80%, 75%, 0%, 100%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.009;0.6612200992050652;7.115272457874246;(100%, 100%, 0%, 0%, 100%, 100%, 100%, 0%)
Cup;Loss;k-anonymity;0.009;0.27456424932005896;4.902192588389212;(80%, 100%, 0%, 50%, 0%, 25%, 50%, 25%)
Cup;Entropy;k-anonymity;0.01;0.670546092209941;9.336233665925821;(100%, 100%, 0%, 0%, 100%, 100%, 100%, 0%)
Cup;Loss;k-anonymity;0.01;0.2830640417741911;5.967749562585709;(80%, 100%, 0%, 50%, 0%, 25%, 50%, 25%)
Fars;Entropy;p-sample-uniqueness;0.001;0.23187002407542906;4.134261965384348;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.001;0.12161387342462425;4.6028710978134875;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.002;0.23091543554258767;4.03419955021449;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.002;0.1206737610090575;4.502808682643629;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.003;0.2299675778098249;3.9341371350446317;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.003;0.11973730563766777;4.402746267473771;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.004;0.22893333543277622;3.8340747198747733;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.004;0.11880098195871551;4.302683852303913;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.005;0.22790612528459706;3.7340123047049154;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.005;0.11786729036685582;4.202621437134054;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
